Date,Open,High,Low,Close,Adj Close,Volume
3/23/2020,6.21,6.95,5.57,6.5,6.5,9808900
3/30/2020,6.61,6.83,5.31,5.4,5.4,8150200
4/6/2020,5.85,7.7,5.75,7.27,7.27,5715300
4/13/2020,7.24,7.79,6.86,7.4,7.4,5670600
4/20/2020,7.3,7.97,7.12,7.89,7.89,3733600
4/27/2020,7.98,9.22,7.93,8.53,8.53,5860800
5/4/2020,8.38,9.93,8.2,9.85,9.85,8578700
5/11/2020,9.93,14.2,9.74,13.72,13.72,38004900
5/18/2020,14,14.2,11.41,12.3,12.3,16781600
5/25/2020,12.45,12.72,11.53,12.44,12.44,8341600
6/1/2020,12.41,12.67,11.82,12.33,12.33,12439900
6/8/2020,12.25,12.49,11.28,11.84,11.84,10548300
6/15/2020,11.76,12.85,11.56,12.24,12.24,11811800
6/22/2020,12.35,14.69,12.16,14.11,14.11,29378200
6/29/2020,14.18,15.18,13.71,14.37,14.37,12201200
7/6/2020,14.61,16.790001,14.23,16.08,16.08,15693100
7/13/2020,16.379999,16.459999,13.53,13.94,13.94,11672400
7/20/2020,14.18,14.8,12.96,13.4,13.4,8657900
7/27/2020,13.54,15.08,13.54,15.02,15.02,9459100
8/3/2020,15.34,17.59,13.76,14.86,14.86,27292300
8/10/2020,15,15.11,13.72,14.79,14.79,12349600
8/17/2020,14.95,15.53,14.54,14.75,14.75,9045400
8/24/2020,14.88,15.33,13.9,15.05,15.05,11319900
8/31/2020,15.18,16.32,13.09,13.95,13.95,13158100
9/7/2020,13.5,15.7,13.46,15.09,15.09,7434200
9/14/2020,15.25,15.64,14.74,15.35,15.35,9334800
9/21/2020,15.29,16.74,14.83,16.700001,16.700001,11412100
9/28/2020,16.950001,19.18,16.219999,18.84,18.84,13821000
10/5/2020,19.17,20.629999,18.52,20.209999,20.209999,9370700
10/12/2020,20.17,21.09,19.85,20.08,20.08,7495400
10/19/2020,20.34,21.299999,19.43,19.719999,19.719999,7435000
10/26/2020,19.74,19.889999,18.200001,18.450001,18.450001,7344000
11/2/2020,18.440001,30.950001,18.33,29.26,29.26,32477700
11/9/2020,27.09,31.4,25,30.84,30.84,16588900
11/16/2020,30.15,36.240002,30,35.529999,35.529999,17621300
11/23/2020,35.509998,36.66,33.950001,34.860001,34.860001,7021900
11/30/2020,34.759998,34.919998,30.41,31.969999,31.969999,9171300
12/7/2020,31.860001,37.18,31.67,34.970001,34.970001,11462700
12/14/2020,35.5,40.48,35.150002,40.209999,40.209999,12353000
12/21/2020,39.59,41.419998,37.610001,37.799999,37.799999,6298200
12/28/2020,38.549999,39.009998,34.400002,34.52,34.52,6082100
1/4/2021,35.110001,38.259998,33.110001,38.009998,38.009998,8790800
1/11/2021,36.27,44.049999,34.349998,38.799999,38.799999,11638100
1/18/2021,39.330002,41.900002,36.939999,41.349998,41.349998,6611100
1/25/2021,42.290001,46,41.119999,41.450001,41.450001,10884600
2/1/2021,41.880001,51.669998,41.32,51.59,51.59,9147900
2/8/2021,52.439999,58.790001,51.700001,56.77,56.77,10721200
2/15/2021,58.630001,60.439999,52.119999,56.009998,56.009998,9676500
2/22/2021,54.830002,63.880001,43.75,53.880001,53.880001,23439500
3/1/2021,55.740002,55.84,39.310001,44.25,44.25,15974000
3/8/2021,44,49.580002,41.509998,49.32,49.32,9166900
3/15/2021,49.330002,51.73,43.59,45.470001,45.470001,7136200
3/22/2021,46.240002,46.799999,40.639999,44.23,44.23,5733200
3/29/2021,43.650002,47.32,40.349998,46.529999,46.529999,5359100
